eligible,turnout,voters
2347,33.36,783
2293,29.44,675
2293,29.44,675
12719,28.01,3563
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
9126,31.7,2893
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
2293,29.44,675
477,38.36,183
2509,28.94,726
1758,33.39,587
2293,29.44,675
871,40.07,349
871,40.07,349
871,40.07,349
7051,31.0,2186
871,40.07,349
871,40.07,349
2293,29.44,675
344,43.6,150
688,31.83,219
871,40.07,349
871,40.07,349
871,40.07,349
871,40.07,349
725,35.31,256
683,44.95,307
871,40.07,349
4067,45.34,1844
871,40.07,349
871,40.07,349
871,40.07,349
871,40.07,349
871,40.07,349
459,30.72,141
493,29.82,147
871,40.07,349
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
519,27.75,144
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
784,40.18,315
1155,35.58,411
784,40.18,315
989,38.22,378
228,42.98,98
647,34.0,220
1046,39.39,412
949,36.56,347
957,29.99,287
802,29.43,236
727,40.99,298
3518,31.58,1111
1282,40.25,516
529,38.56,204
333,39.64,132
608,27.47,167
4754,39.76,1890
376,40.69,153
1048,40.36,423
909,41.36,376
2697,40.56,1094
571,36.95,211
845,40.71,344
1044,28.07,293
2437,30.28,738
787,40.66,320
948,38.5,365
1699,39.73,675
802,35.79,287
714,38.94,278
334,39.22,131
695,38.99,271
4101,26.87,1102
4564,34.07,1555
880,39.55,348
2501,43.1,1078
917,39.04,358
745,31.14,232
574,45.3,260
955,40.52,387
917,39.04,358
3039,35.7,1085
828,46.5,385
873,41.7,364
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
1313,39.68,521
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
1276,38.32,489
11057,32.02,3541
11057,32.02,3541
5389,43.5,2344
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
11057,32.02,3541
1447,50.38,729
1803,36.16,652
629,52.15,328
930,47.31,440
1204,44.35,534
1258,44.67,562
5373,30.88,1659
11057,32.02,3541
871,46.15,402
3807,35.72,1360
11890,36.49,4339
1770,40.56,718
802,53.74,431
8785,32.9,2890
1526,38.99,595
1233,37.06,457
6707,36.28,2433
915,34.97,320
873,33.91,296
506,36.56,185
872,45.76,399
9080,33.38,3031
699,38.77,271
4374,36.92,1615
1609,32.38,521
485,33.81,164
1057,37.18,393
2454,45.03,1105
1196,49.58,593
484,41.94,203
962,41.16,396
626,43.45,272
2631,37.74,993
500,36.8,184
1420,29.15,414
789,39.16,309
7675,24.99,1918
2454,33.86,831
338,41.42,140
808,42.82,346
1457,39.53,576
440,44.09,194
387,42.64,165
2182,27.82,607
9230,39.11,3610
440,44.09,194
464,39.66,184
985,37.66,371
1005,36.82,370
605,27.27,165
841,21.17,178
1980,39.24,777
2269,42.79,971
298,43.96,131
793,38.84,308
2385,33.46,798
661,47.05,311
1341,38.03,510
734,50.27,369
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
1059,37.02,392
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
15893,33.65,5348
5173,33.08,1711
1470,34.01,500
5173,33.08,1711
15893,33.65,5348
5173,33.08,1711
14996,37.54,5630
1059,34.28,363
14996,37.54,5630
1749,32.76,573
1098,35.34,388
700,44.14,309
6010,31.41,1888
1154,40.64,469
608,42.93,261
4826,41.07,1982
1108,39.26,435
406,60.1,244
1102,38.11,420
7732,38.2,2954
34527,35.38,12215
44332,29.41,13036
5008,39.18,1962
4755,37.22,1770
15893,33.65,5348
14996,37.54,5630
20629,29.11,6006
1145,51.35,588
18020,35.41,6380
13572,39.24,5325
483,42.65,206
540,50.93,275
14440,35.22,5086
888,44.14,392
2000,44.7,894
956,43.62,417
964,40.35,389
3121,44.02,1374
9403,35.25,3315
9864,37.47,3696
648,51.39,333
2621,36.55,958
544,41.73,227
37900,35.21,13345
40809,36.35,14835
41589,33.97,14129
15527,35.68,5540
37503,42.4,15900
35224,37.67,13269
11353,34.72,3942
34170,35.95,12285
15740,35.29,5554
20961,33.04,6926
21887,32.67,7150
28193,33.49,9441
13069,36.61,4785
46591,40.67,18949
19602,41.5,8134
678,42.63,289
1950,46.05,898
393,50.38,198
682,47.36,323
2550,35.57,907
38384,40.65,15604
4059,32.5,1319
17844,43.6,7780
12845,38.53,4949
51362,40.6,20854
3099,30.3,939
12128,34.61,4197
14711,46.2,6797
41701,42.66,17790
13690,38.65,5291
21214,44.73,9488
14222,39.68,5644
12607,42.31,5334
30474,30.15,9188
12187,41.41,5047
57060,33.6,19172
57060,33.6,19172
57060,33.6,19172
57060,33.6,19172
57060,33.6,19172
29433,38.07,11206
2621,41.28,1082
25842,38.37,9915
6843,25.25,1728
29397,41.45,12185
1583,39.55,626
11452,41.46,4748
13565,40.62,5510
57060,33.6,19172
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
12984,40.63,5276
32699,31.51,10303
32699,31.51,10303
21482,45.66,9809
2621,41.28,1082
32699,31.51,10303
20177,42.5,8576
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
9642,35.97,3468
31439,37.96,11935
4903,30.19,1480
12084,37.55,4537
766,46.74,358
11424,41.61,4754
45860,34.67,15901
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
950,48.0,456
480,31.46,151
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
29892,46.16,13798
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
34252,43.59,14931
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
32699,31.51,10303
22521,39.21,8830
35405,32.74,11591
29959,44.71,13395
1006,38.97,392
40949,33.42,13685
19476,39.36,7666
32699,31.51,10303
1471,38.61,568
1938,34.31,665
16452,44.3,7288
9705,42.69,4143
29415,30.3,8914
23128,35.68,8253
37703,42.77,16124
31933,41.98,13406
